user_id,age_group,city_tier,subscription_date,subscription_plan,last_active_date,plan_change_date,new_subscription_plan
UIDJS00547d09a4d,18-24,Tier 1,2024-11-24,VIP,\N,\N,\N
UIDJS00562c35b05,35-44,Tier 2,2024-10-29,VIP,\N,\N,\N
UIDJS00562d6f82f,25-34,Tier 3,2024-09-09,VIP,\N,\N,\N
UIDJS00565316de3,25-34,Tier 1,2024-08-22,Premium,\N,\N,\N
UIDJS00569c3c6ff,25-34,Tier 2,2024-03-23,VIP,\N,\N,\N
UIDJS00590fc3a14,25-34,Tier 1,2024-07-03,Premium,\N,\N,\N
UIDJS005c98ffd26,25-34,Tier 1,2024-08-22,Premium,\N,\N,\N
UIDJS005d53dae49,45+,Tier 3,2024-05-31,Free,\N,\N,\N
UIDJS005e7052e4e,18-24,Tier 1,2024-10-21,Premium,\N,\N,\N
UIDJS005f238dbb0,45+,Tier 2,2024-04-03,Premium,\N,2024-08-03,Free
UIDJS00604c50864,18-24,Tier 2,2024-06-13,Premium,\N,\N,\N
UIDJS006315e24bf,45+,Tier 1,2024-01-04,Free,\N,2024-03-04,Premium
UIDJS0063b1fe9a3,35-44,Tier 1,2024-05-25,VIP,\N,2024-07-25,Free
UIDJS0064188c0ae,35-44,Tier 2,2024-06-20,Premium,2024-11-05,\N,\N
UIDJS0065253546b,35-44,Tier 2,2024-11-05,VIP,\N,\N,\N
UIDJS00657416ff9,25-34,Tier 1,2024-06-19,VIP,\N,\N,\N
UIDJS006711c9331,25-34,Tier 1,2024-05-22,Free,\N,2024-06-22,VIP
UIDJS0067d2c2acc,35-44,Tier 1,2024-07-01,Premium,2024-11-08,\N,\N
UIDJS0069a46fa8c,35-44,Tier 3,2024-11-26,VIP,\N,\N,\N
UIDJS006baaf046e,18-24,Tier 1,2024-03-25,Free,\N,\N,\N
UIDJS00704f84649,35-44,Tier 1,2024-08-29,VIP,2024-10-29,\N,\N
UIDJS00724c21312,25-34,Tier 2,2024-09-29,VIP,\N,\N,\N
UIDJS0074346f6bf,35-44,Tier 1,2024-06-17,Premium,\N,\N,\N
UIDJS00753e2f5d5,25-34,Tier 3,2024-04-04,VIP,\N,2024-05-04,Premium
UIDJS007b5054731,25-34,Tier 1,2024-03-19,Free,\N,2024-09-19,VIP
UIDJS0080031cb59,25-34,Tier 1,2024-11-21,Premium,\N,\N,\N
UIDJS008051a9e72,25-34,Tier 3,2024-07-06,Free,\N,\N,\N
UIDJS0081b973d9f,25-34,Tier 1,2024-10-13,Free,\N,\N,\N
UIDJS00849c6506c,25-34,Tier 1,2024-10-31,VIP,\N,\N,\N
UIDJS0084cfde42c,35-44,Tier 1,2024-02-13,VIP,\N,2024-03-13,Premium
UIDJS008583491a5,18-24,Tier 1,2024-08-28,Premium,\N,\N,\N
UIDJS0088af6fcf3,25-34,Tier 2,2024-08-24,Premium,\N,\N,\N
UIDJS0088c64821a,35-44,Tier 1,2024-01-09,Premium,\N,2024-06-09,VIP
UIDJS008904fb4c2,25-34,Tier 1,2024-10-08,Free,\N,\N,\N
UIDJS00894ecbea2,18-24,Tier 2,2024-09-17,VIP,\N,\N,\N
UIDJS00895f1086c,45+,Tier 1,2024-08-05,VIP,\N,\N,\N
UIDJS0089ccca84b,35-44,Tier 3,2024-05-16,Free,2024-11-02,\N,\N
UIDJS008c56bb33d,25-34,Tier 1,2024-03-05,Premium,\N,\N,\N
UIDJS008c6bf1240,25-34,Tier 2,2024-02-29,Premium,\N,\N,\N
UIDJS008d20198a3,25-34,Tier 1,2024-08-04,VIP,\N,\N,\N
UIDJS008d51689ae,45+,Tier 1,2024-08-25,Premium,\N,\N,\N
UIDJS008fe1ea9ab,25-34,Tier 1,2024-02-23,Free,\N,2024-09-23,Premium
UIDJS009625d7cf8,18-24,Tier 1,2024-03-29,Premium,\N,\N,\N
UIDJS0097962fdbe,25-34,Tier 1,2024-05-14,Premium,\N,\N,\N
UIDJS009a975c2e1,25-34,Tier 1,2024-10-17,VIP,\N,2024-11-17,Premium
UIDJS009c2aa38ad,35-44,Tier 1,2024-08-01,VIP,\N,\N,\N
UIDJS009c77ed3b6,18-24,Tier 1,2024-02-06,Premium,\N,\N,\N
UIDJS009d0800903,25-34,Tier 1,2024-10-21,Premium,\N,\N,\N
UIDJS009e8ee704d,25-34,Tier 1,2024-03-19,Free,2024-10-18,\N,\N
UIDJS009eabf9e61,25-34,Tier 2,2024-11-22,Free,\N,\N,\N
UIDJS00a06464c5f,25-34,Tier 1,2024-09-17,Free,\N,\N,\N
UIDJS00a2e4c9712,18-24,Tier 1,2024-05-01,Free,\N,\N,\N
UIDJS00a3f3bb005,18-24,Tier 1,2024-08-22,VIP,\N,\N,\N
UIDJS00a4a28bba0,25-34,Tier 1,2024-03-02,Premium,\N,\N,\N
UIDJS00a533dec6f,35-44,Tier 1,2024-02-13,Free,\N,\N,\N
UIDJS00a70c2d65b,25-34,Tier 1,2024-11-15,VIP,\N,\N,\N
UIDJS00a8ec2d48f,25-34,Tier 2,2024-11-24,Free,\N,\N,\N
UIDJS00a9dd47915,35-44,Tier 1,2024-01-12,Premium,\N,\N,\N
UIDJS00aa80b3d62,25-34,Tier 3,2024-10-19,VIP,\N,\N,\N
UIDJS00ab7f72df6,25-34,Tier 1,2024-03-08,VIP,\N,\N,\N
UIDJS00afe9e654f,35-44,Tier 2,2024-07-25,Free,\N,\N,\N
UIDJS00b13ca0a86,25-34,Tier 1,2024-05-13,Free,\N,\N,\N
UIDJS00b2f7a03ff,18-24,Tier 1,2024-09-18,VIP,2024-12-14,\N,\N
UIDJS00b38e44e50,45+,Tier 1,2024-09-07,VIP,\N,\N,\N
UIDJS00b415b3873,25-34,Tier 1,2024-08-12,Free,\N,\N,\N
UIDJS00b4213ab43,25-34,Tier 1,2024-07-08,Premium,\N,\N,\N
UIDJS00b646c2cfa,35-44,Tier 2,2024-08-29,Premium,\N,\N,\N
UIDJS00b9699bdef,25-34,Tier 2,2024-10-18,VIP,\N,\N,\N
UIDJS00b9999559e,25-34,Tier 1,2024-08-09,Premium,\N,2024-10-09,Free
UIDJS00bb364c356,18-24,Tier 1,2024-02-04,VIP,2024-10-08,\N,\N
UIDJS00bc41929e3,25-34,Tier 1,2024-01-02,Premium,\N,\N,\N
UIDJS00bc4e81240,45+,Tier 2,2024-08-19,VIP,2024-12-16,\N,\N
UIDJS00bea31d4c6,25-34,Tier 1,2024-06-21,Premium,\N,\N,\N
UIDJS00bf95da3ab,25-34,Tier 1,2024-11-21,VIP,\N,\N,\N
UIDJS00c01dc7f36,45+,Tier 2,2024-08-29,Free,\N,\N,\N
UIDJS00c12b09fce,45+,Tier 2,2024-10-27,VIP,\N,\N,\N
UIDJS00c5c5db3e0,25-34,Tier 2,2024-06-10,VIP,\N,\N,\N
UIDJS00c6661754b,35-44,Tier 2,2024-11-13,Free,\N,\N,\N
UIDJS00cbf1145b1,35-44,Tier 1,2024-11-04,Premium,\N,\N,\N
UIDJS00cc522b835,25-34,Tier 3,2024-07-08,VIP,\N,2024-09-08,Premium
UIDJS00cd9c982d1,45+,Tier 1,2024-07-03,VIP,\N,\N,\N
UIDJS00cfea4dfd3,25-34,Tier 3,2024-02-07,Free,\N,\N,\N
UIDJS00d0490d594,18-24,Tier 1,2024-08-19,Premium,\N,\N,\N
UIDJS00d40312e2c,18-24,Tier 1,2024-07-19,Premium,\N,\N,\N
UIDJS00d4428a59a,18-24,Tier 2,2024-07-16,Premium,\N,\N,\N
UIDJS00d7a5a87d0,25-34,Tier 1,2024-05-21,VIP,\N,2024-11-21,Free
UIDJS00d8867463a,25-34,Tier 3,2024-08-25,Free,\N,2024-09-25,Premium
UIDJS00da47f7091,35-44,Tier 2,2024-09-02,VIP,\N,\N,\N
UIDJS00db757802d,18-24,Tier 3,2024-02-02,VIP,\N,2024-08-02,Free
UIDJS00dccf092c8,25-34,Tier 2,2024-05-02,Free,\N,\N,\N
UIDJS00de1e546a5,35-44,Tier 1,2024-08-20,Premium,\N,\N,\N
UIDJS00df921f5f7,25-34,Tier 1,2024-08-26,VIP,\N,2024-12-26,Free
UIDJS00dfd707f4a,45+,Tier 2,2024-07-09,Premium,\N,\N,\N
UIDJS00e0574eff7,25-34,Tier 1,2024-04-23,VIP,\N,2024-06-23,Premium
UIDJS00e0d5425aa,45+,Tier 1,2024-05-21,Free,\N,\N,\N
UIDJS00e408cc296,45+,Tier 1,2024-05-25,VIP,2024-07-12,\N,\N
UIDJS00e493640aa,25-34,Tier 2,2024-07-05,Premium,\N,\N,\N
UIDJS00e5f02e1a4,25-34,Tier 3,2024-11-13,Free,\N,\N,\N
UIDJS00e9194e96f,25-34,Tier 2,2024-05-22,VIP,\N,\N,\N
UIDJS00e96d887cb,18-24,Tier 1,2024-11-18,Free,\N,\N,\N
UIDJS00e9da8618e,25-34,Tier 3,2024-02-28,Free,2024-09-14,\N,\N
UIDJS00ec8926486,25-34,Tier 3,2024-04-24,VIP,2024-05-24,\N,\N
UIDJS00ed1970ef8,45+,Tier 1,2024-10-21,Premium,2024-12-05,\N,\N
UIDJS00ed69c840e,18-24,Tier 3,2024-04-18,Free,2024-08-09,\N,\N
UIDJS00eebacd063,25-34,Tier 2,2024-03-17,VIP,\N,\N,\N
UIDJS00ef400a3d0,25-34,Tier 1,2024-11-21,Free,2024-12-12,\N,\N
UIDJS00f080227ef,25-34,Tier 2,2024-03-12,Free,\N,2024-05-12,Premium
UIDJS00f0a6e9826,35-44,Tier 2,2024-10-03,VIP,\N,\N,\N
UIDJS00f0edc6a57,25-34,Tier 3,2024-06-08,Premium,\N,\N,\N
UIDJS00f156b9ccd,25-34,Tier 2,2024-10-16,Premium,\N,\N,\N
UIDJS00f1e7456eb,35-44,Tier 3,2024-10-02,VIP,\N,\N,\N
UIDJS00f26419235,25-34,Tier 2,2024-02-24,VIP,\N,\N,\N
UIDJS00f4e386e93,18-24,Tier 2,2024-02-16,Free,\N,\N,\N
UIDJS00f56feb067,25-34,Tier 2,2024-01-18,Free,2024-10-31,\N,\N
UIDJS00f57fb34ad,35-44,Tier 1,2024-04-05,Free,\N,2024-10-05,VIP
UIDJS00f6bafa38f,25-34,Tier 1,2024-05-09,Premium,\N,\N,\N
UIDJS00f729149fb,45+,Tier 1,2024-10-05,VIP,\N,\N,\N
UIDJS00f79d2a1c7,25-34,Tier 1,2024-03-10,Premium,\N,\N,\N
UIDJS00f8324700a,35-44,Tier 1,2024-11-06,VIP,\N,\N,\N
UIDJS00f89c766ae,18-24,Tier 3,2024-03-17,Free,\N,\N,\N
UIDJS00f915617e5,35-44,Tier 1,2024-08-16,Premium,\N,\N,\N
UIDJS00fa4cda216,45+,Tier 1,2024-09-22,Free,\N,\N,\N
UIDJS00fa7f84e35,25-34,Tier 2,2024-02-06,VIP,2024-04-16,\N,\N
UIDJS00fab440908,25-34,Tier 2,2024-04-06,VIP,\N,2024-08-06,Free
UIDJS00fc21001b2,35-44,Tier 1,2024-02-05,Premium,\N,\N,\N
UIDJS00fc3346ab4,45+,Tier 1,2024-01-31,VIP,\N,2024-09-30,Premium
UIDJS00fcea5e88b,25-34,Tier 3,2024-03-08,Free,2024-06-15,\N,\N
UIDJS00fdffbd023,35-44,Tier 3,2024-01-19,Free,\N,\N,\N
UIDJS010211941c2,18-24,Tier 1,2024-09-06,VIP,\N,\N,\N
UIDJS01027b42f6e,25-34,Tier 1,2024-07-19,Free,2024-09-20,\N,\N
UIDJS0102ee4140a,45+,Tier 2,2024-07-08,VIP,\N,\N,\N
UIDJS01048508146,35-44,Tier 3,2024-09-01,Free,\N,\N,\N
UIDJS01063267841,45+,Tier 1,2024-02-14,VIP,\N,2024-04-14,Premium
UIDJS01064870bff,45+,Tier 1,2024-11-26,VIP,\N,\N,\N
UIDJS01079a7f0e3,45+,Tier 2,2024-09-02,VIP,\N,\N,\N
UIDJS01079f32167,18-24,Tier 1,2024-09-09,Premium,\N,\N,\N
UIDJS0108248456a,25-34,Tier 3,2024-11-21,Free,\N,\N,\N
UIDJS0109f4c4d93,35-44,Tier 2,2024-04-17,VIP,\N,2024-05-17,Premium
UIDJS010a79036c3,25-34,Tier 1,2024-07-18,VIP,\N,\N,\N
UIDJS010c670b03a,25-34,Tier 2,2024-07-23,VIP,2024-11-15,\N,\N
UIDJS010eeb72d39,35-44,Tier 1,2024-02-21,VIP,\N,\N,\N
UIDJS010f94e9948,25-34,Tier 2,2024-05-06,Premium,\N,\N,\N
UIDJS0110b76f4f6,25-34,Tier 1,2024-06-26,Free,\N,\N,\N
UIDJS01164dc9bc1,18-24,Tier 1,2024-02-27,Free,2024-04-07,\N,\N
UIDJS0117d98e94f,25-34,Tier 2,2024-10-26,VIP,\N,2024-11-26,Free
UIDJS0117e9cd114,25-34,Tier 1,2024-02-17,Premium,\N,\N,\N
UIDJS011af89a1d5,25-34,Tier 1,2024-06-01,Premium,\N,\N,\N
UIDJS011de7f415b,25-34,Tier 3,2024-04-05,VIP,\N,2024-10-05,Premium
UIDJS011e658a77a,25-34,Tier 3,2024-06-29,VIP,\N,\N,\N
UIDJS012131dc360,18-24,Tier 1,2024-11-02,Premium,\N,\N,\N
UIDJS0121c44215f,25-34,Tier 2,2024-09-26,VIP,\N,\N,\N
UIDJS0122a4196c0,45+,Tier 3,2024-04-06,Free,\N,\N,\N
UIDJS0122c0f9392,35-44,Tier 1,2024-07-09,Free,2024-09-23,\N,\N
UIDJS0122c44f084,25-34,Tier 1,2024-01-30,Premium,2024-03-25,\N,\N
UIDJS0124eea2804,18-24,Tier 2,2024-01-12,VIP,\N,\N,\N
UIDJS0128cfdc2b5,25-34,Tier 1,2024-07-28,VIP,\N,\N,\N
UIDJS01296986b28,25-34,Tier 2,2024-01-03,Free,\N,\N,\N
UIDJS0129730f7e2,18-24,Tier 1,2024-05-08,Free,\N,2024-07-08,Premium
UIDJS012b66943fe,18-24,Tier 1,2024-09-06,Free,2024-10-18,\N,\N
UIDJS012c875c469,45+,Tier 1,2024-10-29,VIP,\N,\N,\N
UIDJS012d981027d,18-24,Tier 1,2024-04-05,VIP,2024-09-21,\N,\N
UIDJS01301bc458d,18-24,Tier 1,2024-09-27,Premium,\N,\N,\N
UIDJS0130e78a627,45+,Tier 2,2024-07-02,VIP,2024-08-13,\N,\N
UIDJS01316c0caa1,25-34,Tier 2,2024-01-02,VIP,\N,\N,\N
UIDJS0137a1bb303,25-34,Tier 1,2024-11-01,Premium,\N,\N,\N
UIDJS0139345516e,25-34,Tier 1,2024-08-25,Premium,\N,\N,\N
UIDJS013b7d353d7,25-34,Tier 1,2024-08-04,Free,\N,\N,\N
UIDJS013ce2ca1ab,25-34,Tier 2,2024-04-19,VIP,\N,\N,\N
UIDJS013d9f02cd4,45+,Tier 2,2024-07-17,Free,2024-12-05,\N,\N
UIDJS013fa103eee,18-24,Tier 2,2024-02-07,Premium,2024-06-04,\N,\N
UIDJS013faa28b4a,25-34,Tier 1,2024-08-29,Premium,\N,\N,\N
UIDJS01405aa26b2,35-44,Tier 1,2024-03-09,VIP,\N,\N,\N
UIDJS0140a10faeb,18-24,Tier 1,2024-04-10,VIP,\N,\N,\N
UIDJS0142982988f,25-34,Tier 1,2024-06-05,Premium,\N,\N,\N
UIDJS01453764f9c,25-34,Tier 1,2024-04-28,Premium,\N,\N,\N
UIDJS01455570436,35-44,Tier 1,2024-08-28,VIP,\N,\N,\N
UIDJS014777a2531,45+,Tier 2,2024-01-09,VIP,\N,\N,\N
UIDJS0148a1f2e7c,45+,Tier 3,2024-07-06,Free,\N,2024-09-06,VIP
UIDJS01492774b54,25-34,Tier 1,2024-03-07,VIP,\N,2024-04-07,Premium
UIDJS0150116adda,18-24,Tier 2,2024-08-23,Free,\N,\N,\N
UIDJS01513765e51,25-34,Tier 3,2024-05-21,Free,2024-07-13,\N,\N
UIDJS015140dde26,45+,Tier 2,2024-11-20,Free,\N,\N,\N
UIDJS01531779cd9,18-24,Tier 3,2024-02-15,Free,\N,\N,\N
UIDJS0154b86e997,18-24,Tier 3,2024-01-09,VIP,\N,\N,\N
UIDJS0156848900b,25-34,Tier 1,2024-07-15,VIP,\N,2024-08-15,Free
UIDJS01572d3fbf0,35-44,Tier 2,2024-03-19,Free,\N,\N,\N
UIDJS0159170d1dc,35-44,Tier 1,2024-08-26,VIP,\N,2024-11-26,Free
UIDJS01638d6319b,25-34,Tier 1,2024-11-19,Premium,\N,\N,\N
UIDJS0163bac69a6,35-44,Tier 3,2024-02-27,Premium,\N,\N,\N
UIDJS0165eaaec34,25-34,Tier 1,2024-02-05,VIP,\N,2024-09-05,Premium
UIDJS0167b3a4fef,45+,Tier 1,2024-11-21,VIP,\N,2024-12-21,Premium
UIDJS016b0c6c288,35-44,Tier 2,2024-11-22,VIP,\N,\N,\N
UIDJS016cecb23e1,35-44,Tier 1,2024-01-30,Premium,\N,\N,\N
UIDJS016d06b7ad1,25-34,Tier 1,2024-08-26,Premium,\N,\N,\N
UIDJS016db2067a5,35-44,Tier 2,2024-02-07,VIP,\N,\N,\N
UIDJS016eb39b370,25-34,Tier 1,2024-10-04,VIP,\N,2024-11-04,Free
UIDJS0171f1f4cd7,45+,Tier 1,2024-04-30,Free,\N,\N,\N
UIDJS017242c6666,25-34,Tier 2,2024-07-06,VIP,\N,2024-09-06,Premium
UIDJS0173a3ffda7,18-24,Tier 1,2024-03-07,Free,\N,\N,\N
UIDJS01741a7dbc9,25-34,Tier 1,2024-02-17,Premium,\N,\N,\N
UIDJS0176a68d2a7,25-34,Tier 1,2024-05-05,VIP,2024-09-26,\N,\N
UIDJS017d3ab9f4a,35-44,Tier 2,2024-03-24,VIP,\N,\N,\N
UIDJS017f11ad05c,18-24,Tier 3,2024-04-11,Premium,\N,\N,\N
UIDJS0180de5eab4,35-44,Tier 1,2024-04-28,VIP,\N,2024-06-28,Premium
UIDJS0181ea65ce0,45+,Tier 1,2024-09-22,Free,\N,\N,\N
UIDJS018348c4447,25-34,Tier 1,2024-07-13,VIP,\N,\N,\N
UIDJS01837acb622,25-34,Tier 2,2024-02-08,Premium,\N,\N,\N
UIDJS0186c811fa4,25-34,Tier 1,2024-06-05,VIP,\N,\N,\N
UIDJS018a58964bc,18-24,Tier 2,2024-01-04,Free,\N,\N,\N
UIDJS018d64c16df,45+,Tier 1,2024-07-31,Free,\N,2024-12-31,Premium
UIDJS018dd23d8c2,25-34,Tier 1,2024-02-21,Free,\N,\N,\N
UIDJS018e651c874,25-34,Tier 2,2024-01-26,VIP,\N,2024-05-26,Premium
UIDJS018ee0968c5,35-44,Tier 2,2024-03-23,VIP,2024-08-02,\N,\N
UIDJS01902f5b0dd,25-34,Tier 1,2024-07-25,VIP,\N,2024-08-25,Free
UIDJS0192908e87f,18-24,Tier 1,2024-11-03,VIP,\N,\N,\N
UIDJS01951f98bf9,25-34,Tier 1,2024-04-11,Premium,\N,\N,\N
UIDJS0197ef9174c,35-44,Tier 2,2024-09-08,VIP,\N,\N,\N
UIDJS01986720531,18-24,Tier 2,2024-11-17,VIP,\N,\N,\N
UIDJS019880aa44d,35-44,Tier 1,2024-08-22,VIP,\N,\N,\N
UIDJS01990c4bf05,35-44,Tier 2,2024-06-22,Free,2024-10-09,\N,\N
UIDJS019a4e5da10,25-34,Tier 3,2024-04-28,Free,\N,2024-06-28,VIP
UIDJS019ae965583,25-34,Tier 1,2024-05-25,VIP,\N,\N,\N
UIDJS019cb16dc91,35-44,Tier 3,2024-08-01,Free,\N,\N,\N
UIDJS019d7de71e0,35-44,Tier 1,2024-01-12,VIP,\N,2024-03-12,Premium
UIDJS019db8935c9,25-34,Tier 2,2024-02-29,VIP,\N,\N,\N
UIDJS019f73d3371,25-34,Tier 1,2024-10-09,VIP,\N,\N,\N
UIDJS019fdfcab8c,25-34,Tier 3,2024-07-16,VIP,\N,\N,\N
UIDJS01a05ea9a82,25-34,Tier 1,2024-07-02,Free,\N,\N,\N
UIDJS01a0e203d4a,25-34,Tier 1,2024-05-08,Premium,\N,\N,\N
UIDJS01a146894b8,25-34,Tier 1,2024-11-14,VIP,\N,\N,\N
UIDJS01a5300ad49,18-24,Tier 3,2024-04-29,Free,\N,\N,\N
UIDJS01a62d1a097,25-34,Tier 3,2024-02-10,VIP,\N,\N,\N
UIDJS01a64ec96a9,25-34,Tier 3,2024-10-26,VIP,\N,\N,\N
UIDJS01a6acd40a9,35-44,Tier 2,2024-02-12,Premium,\N,\N,\N
UIDJS01a751ee1ec,35-44,Tier 1,2024-01-25,VIP,\N,2024-05-25,Premium
UIDJS01a850c9d7f,35-44,Tier 1,2024-03-06,VIP,\N,\N,\N
UIDJS01a88b7899e,25-34,Tier 1,2024-01-23,VIP,\N,\N,\N
UIDJS01a8e946961,45+,Tier 3,2024-09-21,Free,\N,\N,\N
UIDJS01aaf5f2bb6,25-34,Tier 2,2024-03-31,Free,\N,\N,\N
UIDJS01abe0dfe38,18-24,Tier 1,2024-09-11,Free,\N,2024-11-11,Premium
UIDJS01ae8c80812,45+,Tier 1,2024-08-28,VIP,\N,\N,\N
UIDJS01b05ffda65,18-24,Tier 1,2024-07-28,Premium,\N,\N,\N
UIDJS01b07e7d88e,18-24,Tier 1,2024-07-07,Premium,\N,\N,\N
UIDJS01b1ea5e63e,18-24,Tier 3,2024-02-27,Free,\N,\N,\N
UIDJS01b44c024b0,25-34,Tier 1,2024-03-06,Premium,\N,\N,\N
UIDJS01b64eab2eb,35-44,Tier 3,2024-10-14,Free,\N,\N,\N
UIDJS01b7f492e31,25-34,Tier 2,2024-02-25,Free,\N,\N,\N
UIDJS01b9c3daf5f,18-24,Tier 1,2024-07-17,Premium,\N,\N,\N
UIDJS01bb439a03f,18-24,Tier 2,2024-01-26,VIP,\N,\N,\N
UIDJS01bb90a62c5,25-34,Tier 2,2024-04-15,Premium,\N,\N,\N
UIDJS01bbfd56f45,35-44,Tier 2,2024-03-15,VIP,\N,2024-04-15,Premium
UIDJS01bd6a5c062,18-24,Tier 1,2024-04-28,VIP,\N,\N,\N
UIDJS01c04603c02,25-34,Tier 1,2024-06-20,Premium,\N,\N,\N
